-1,city,lat,lng,country
231,Beyneu,45.1834,55.1000,Kazakhstan
232,Qazaly,45.7628,62.1075,Kazakhstan
233,Aral,46.8000,61.6666,Kazakhstan
234,Ayakoz,47.9647,80.4297,Kazakhstan
235,Urzhar,47.1002,81.6048,Kazakhstan
236,Qapshaghay,43.8844,77.0687,Kazakhstan
237,Esik,43.3691,77.4438,Kazakhstan
238,Turkistan,43.3016,68.2549,Kazakhstan
239,Qaratau,43.1854,70.4600,Kazakhstan
240,Sharbaqty,52.4999,78.1499,Kazakhstan
241,Oostanay,53.2209,63.6283,Kazakhstan
242,Kachiry,53.0804,76.0900,Kazakhstan
243,Kishkenekol,53.6368,72.3414,Kazakhstan
244,Bulaevo,54.9053,70.4400,Kazakhstan
245,Shonzhy,43.5421,79.4703,Kazakhstan
246,Qyzylorda,44.8000,65.4650,Kazakhstan
247,Qaraghandy,49.8850,73.1150,Kazakhstan
248,Ertis,53.3453,75.4499,Kazakhstan
249,Tayynsha,53.8481,69.7638,Kazakhstan
250,Qulan,42.9204,72.7050,Kazakhstan
251,Shu,43.5953,73.7448,Kazakhstan
252,Kentau,43.5165,68.5199,Kazakhstan
253,Oskemen,49.9900,82.6149,Kazakhstan
254,Aqtau,43.6232,51.2365,Kazakhstan
255,Taldyqorghan,45.0000,78.4000,Kazakhstan
256,Astana,51.1811,71.4278,Kazakhstan
257,Aqtobe,50.2800,57.1700,Kazakhstan
258,Kokshetau,53.3000,69.4200,Kazakhstan
259,Petropavlovsk,54.8800,69.2200,Kazakhstan
260,Pavlodar,52.3000,76.9500,Kazakhstan
261,Otar,43.5346,75.2139,Kazakhstan
262,Almaty,43.3250,76.9150,Kazakhstan
263,Bestobe,52.4997,73.0997,Kazakhstan
264,Arys,42.4369,68.8048,Kazakhstan
265,Lenger,42.1899,69.8799,Kazakhstan
266,Aqsu,52.4502,71.9597,Kazakhstan
267,Temirtau,50.0650,72.9650,Kazakhstan
268,Makinsk,52.6404,70.4100,Kazakhstan
269,Osakarovka,50.5799,72.5699,Kazakhstan
270,Qarqaraly,49.4249,75.4649,Kazakhstan
271,Ekibastuz,51.7300,75.3199,Kazakhstan
272,Zyryanovsk,49.7453,84.2548,Kazakhstan
273,Komsomolets,53.7506,62.0502,Kazakhstan
274,Baykonur,45.6914,63.2413,Kazakhstan
275,Erymentau,51.6303,73.1049,Kazakhstan
276,Qarazhal,48.0253,70.7999,Kazakhstan
277,Tobol,52.6980,62.5749,Kazakhstan
278,Shar,49.6003,81.0549,Kazakhstan
279,Semey,50.4350,80.2750,Kazakhstan
280,Boralday,43.3341,76.8288,Kazakhstan
281,Zhetiqara,52.1930,61.2399,Kazakhstan
282,Aqadyr,48.2749,72.8599,Kazakhstan
283,Zharkent,44.1616,79.9801,Kazakhstan
284,Qulsary,46.9833,54.0165,Kazakhstan
285,Balyqshy,47.0666,51.8666,Kazakhstan
286,Atyrau,47.1127,51.9200,Kazakhstan
287,Xiangkhoang,19.3337,103.3666,Laos
288,Muang Phônsavan,19.4500,103.2167,Laos
289,Vientiane,17.9667,102.6000,Laos
290,Ban Houayxay,20.2775,100.4128,Laos
291,Muang Phôn-Hông,18.4957,102.4142,Laos
292,Louang Namtha,20.9500,101.4167,Laos
293,Phongsali,21.6833,102.1000,Laos
294,Thakhek,17.4112,104.8361,Laos
295,Muang Pakxan,18.3826,103.6586,Laos
296,Louangphrabang,19.8845,102.1416,Laos
297,Xaignabouri,19.2505,101.7501,Laos
298,Savannakhet,16.5376,104.7730,Laos
